,palavra,doc|ocorrencia
14102,agudo,"[(129, 1)]"
14103,moralista,"[(129, 1), (149, 1)]"
14104,cabeceira,"[(129, 1), (158, 1)]"
14105,prestigioso,"[(129, 1)]"
14106,max,"[(129, 1), (134, 6), (143, 16)]"
14107,planck,"[(129, 1)]"
14108,fuselagem,"[(129, 1)]"
14109,desmoronar,"[(129, 1)]"
14110,vaticina,"[(129, 1)]"
14111,fatalismo,"[(129, 1)]"
14112,fissuras,"[(129, 1)]"
14113,streeck,"[(129, 3)]"
14114,areces,"[(129, 1)]"
14115,saíram,"[(129, 1), (177, 1), (241, 1), (245, 1)]"
14116,lívidos,"[(129, 1)]"
14117,sustentavam,"[(129, 1)]"
14118,marx,"[(129, 1)]"
14119,ouvimos,"[(129, 1)]"
14120,frustra,"[(129, 1)]"
14121,profetas,"[(129, 1)]"
14122,decadência,"[(129, 2), (167, 1)]"
14123,hiperglobalização,"[(129, 1)]"
14124,intratável,"[(129, 1)]"
14125,bipartidarismo,"[(129, 1)]"
14126,abalando,"[(129, 1)]"
14127,desafiam,"[(129, 1)]"
14128,formidáveis,"[(129, 2)]"
14129,lacerantes,"[(129, 1)]"
14130,endividamentos,"[(129, 1)]"
14131,diferentemente,"[(129, 1), (229, 1), (249, 1)]"
14132,acidentes,"[(129, 1), (143, 2), (185, 1)]"
14133,percepções,"[(129, 1), (152, 1)]"
14134,pessimista,"[(129, 1), (236, 1)]"
14135,irredutível,"[(129, 1)]"
14136,desmorona,"[(129, 1)]"
14137,sobrepõem,"[(129, 1), (217, 1)]"
14138,reforçam,"[(129, 1)]"
14139,chegaria,"[(129, 1), (184, 1)]"
14140,estrondo,"[(129, 1)]"
14141,vejamos,"[(129, 1)]"
14142,funcionem,"[(129, 1)]"
14143,ocorrerem,"[(129, 1)]"
14144,improvisações,"[(129, 1)]"
14145,arriscadas,"[(129, 1)]"
14146,entendo,"[(129, 2), (180, 2), (182, 1), (209, 1)]"
14147,acordem,"[(129, 2)]"
14148,admiração,"[(129, 1), (156, 1), (158, 1), (173, 1)]"
14149,merkel,"[(129, 4)]"
14150,custe,"[(129, 1)]"
14151,draghi,"[(129, 2)]"
14152,esquisito,"[(129, 1)]"
14153,derrubando,"[(129, 1)]"
14154,enviando,"[(129, 1), (175, 1), (211, 1)]"
14155,fizessem,"[(129, 1), (160, 1), (175, 1)]"
14156,sumiu,"[(129, 1)]"
14157,lehman,"[(129, 2)]"
14158,sacudidas,"[(129, 1)]"
14159,coletes,"[(129, 1), (163, 1), (241, 1)]"
14160,amarelos,"[(129, 1), (163, 1)]"
14161,péssimas,"[(129, 1)]"
14162,viverá,"[(129, 1)]"
14163,decantando,"[(129, 1)]"
14164,potenciais,"[(129, 1)]"
14165,conflitos,"[(129, 1), (167, 1), (174, 1), (217, 3)]"
14166,instabilidade,"[(129, 1), (144, 1), (167, 1), (225, 1)]"
14167,destruí,"[(129, 1)]"
14168,exportadores,"[(129, 2)]"
14169,encurralaram,"[(129, 1)]"
14170,puseram,"[(129, 1), (169, 1)]"
14171,custoso,"[(129, 2)]"
14172,autodestruição,"[(129, 1), (195, 1)]"
14173,perceberão,"[(129, 1)]"
14174,gregos,"[(129, 1), (187, 1), (248, 1)]"
14175,desinflar,"[(129, 1)]"
14176,bolhas,"[(129, 1), (211, 1)]"
14177,desvalorizações,"[(129, 2)]"
14178,impõem,"[(129, 1)]"
14179,receitou,"[(129, 1)]"
14180,acompanhadas,"[(129, 1)]"
14181,reestruturações,"[(129, 1)]"
14182,renacionalizar,"[(129, 1)]"
14183,tração,"[(129, 1)]"
14184,admirada,"[(129, 1)]"
14185,lengerich,"[(129, 1)]"
14186,associa,"[(129, 1), (173, 1), (214, 1)]"
14187,artefato,"[(129, 1)]"
14188,mercantilista,"[(129, 1), (175, 1)]"
14189,obedece,"[(129, 1)]"
14190,adágio,"[(129, 1)]"
14191,enganar,"[(129, 2), (232, 1)]"
14192,culturas,"[(129, 1), (172, 1), (180, 1)]"
14193,exportando,"[(129, 1)]"
14194,ajustar,"[(129, 1)]"
14195,sombria,"[(129, 1), (169, 1)]"
14196,tentam,"[(130, 1), (133, 1), (137, 3), (154, 1), (216, 1), (249, 1)]"
14197,percorrido,"[(130, 1), (249, 1)]"
14198,massachusetts,"[(130, 1)]"
14199,seleto,"[(130, 1)]"
14200,ivy,"[(130, 3)]"
14201,league,"[(130, 3)]"
14202,variam,"[(130, 1)]"
14203,minerva,"[(130, 8)]"
14204,mit,"[(130, 1)]"
14205,mencionadas,"[(130, 1), (208, 1)]"
14206,revolucionando,"[(130, 1)]"
14207,sinônimo,"[(130, 1), (151, 2), (184, 1)]"
14208,prêmios,"[(130, 1), (182, 1), (187, 1), (195, 1), (203, 2), (243, 1)]"
14209,campus,"[(130, 2), (214, 1)]"
14210,espetacular,"[(130, 1)]"
14211,line,"[(130, 2), (135, 1), (152, 1), (176, 1)]"
14212,transmite,"[(130, 1), (152, 1), (229, 1)]"
14213,nelson,"[(130, 8)]"
14214,meca,"[(130, 1)]"
14215,ecossistema,"[(130, 1), (135, 1)]"
14216,startup,"[(130, 1)]"
14217,educado,"[(130, 1), (158, 1)]"
14218,empreendedorismo,"[(130, 1)]"
14219,snapfish,"[(130, 1)]"
14220,traçou,"[(130, 1)]"
14221,reinventada,"[(130, 1)]"
14222,ofuscar,"[(130, 1)]"
14223,adaptada,"[(130, 1)]"
14224,universitário,"[(130, 1), (173, 1)]"
14225,arcaico,"[(130, 1), (151, 3), (154, 1)]"
14226,pensado,"[(130, 1), (217, 1)]"
14227,transferibilidade,"[(130, 1)]"
14228,palestra,"[(130, 1)]"
14229,organizada,"[(130, 1), (216, 1)]"
14230,esade,"[(130, 2)]"
14231,yfn,"[(130, 1)]"
14232,mobile,"[(130, 1)]"
14233,world,"[(130, 1), (153, 1)]"
14234,congress,"[(130, 1)]"
14235,koldo,"[(130, 1)]"
14236,echebarria,"[(130, 1)]"
14237,mark,"[(130, 1), (135, 1), (152, 1), (198, 2)]"
14238,vernooij,"[(130, 1)]"
14239,thnk,"[(130, 1)]"
14240,fundada,"[(130, 1), (133, 1)]"
14241,reinventar,"[(130, 1)]"
14242,descartando,"[(130, 1)]"
14243,formulada,"[(130, 1)]"
14244,acomodarem,"[(130, 1)]"
14245,matemático,"[(130, 1)]"
14246,transferidas,"[(130, 1), (248, 1)]"
14247,decida,"[(130, 1)]"
14248,ignoram,"[(130, 1), (146, 1), (161, 2)]"
14249,benchmark,"[(130, 1)]"
14250,singular,"[(130, 1), (165, 1), (184, 1), (248, 2)]"
14251,despertava,"[(130, 1)]"
14252,levadas,"[(130, 1), (181, 1), (249, 1)]"
14253,notas,"[(130, 1), (177, 1), (193, 1)]"
14254,sat,"[(130, 1)]"
14255,vigora,"[(130, 1), (165, 1)]"
14256,seleciona,"[(130, 1)]"
14257,assistem,"[(130, 1)]"
14258,interativas,"[(130, 1)]"
14259,negue,"[(130, 1)]"
14260,hyderabad,"[(130, 1)]"
14261,taipei,"[(130, 1)]"
14262,expomos,"[(130, 1)]"
14263,expositivas,"[(130, 1)]"
14264,demonstrado,"[(130, 1), (150, 1), (171, 1), (206, 1)]"
14265,retenção,"[(130, 1), (188, 1)]"
14266,artes,"[(130, 1), (175, 1), (181, 1), (193, 1), (216, 1), (249, 1)]"
14267,humanidades,"[(130, 1)]"
14268,computacionais,"[(130, 1)]"
14269,movimentarem,"[(130, 1)]"
14270,ambientes,"[(130, 1), (147, 1), (211, 2), (240, 1)]"
14271,adaptarem,"[(130, 1)]"
14272,caminhada,"[(130, 1), (230, 1)]"
14273,aprendizagem,"[(130, 1), (173, 1)]"
14274,habilidades,"[(130, 1), (148, 1)]"
14275,transversais,"[(130, 1), (163, 1)]"
14276,trabalhadas,"[(130, 1)]"
14277,dirão,"[(130, 1)]"
14278,inaugurarem,"[(130, 1)]"
14279,peculiares,"[(130, 1)]"
14280,engrossar,"[(130, 1)]"
14281,multiplicaram,"[(130, 1)]"
14282,admissões,"[(130, 1)]"
14283,vagas,"[(130, 1), (166, 1), (217, 2), (222, 1), (232, 4)]"
14284,contribui,"[(130, 1), (137, 3), (155, 1), (178, 1), (185, 1), (236, 1)]"
14285,seletiva,"[(130, 1)]"
14286,discente,"[(130, 1)]"
14287,diverso,"[(130, 1)]"
14288,seletivas,"[(130, 1)]"
14289,anualidade,"[(130, 1)]"
14290,college,"[(130, 1), (158, 4)]"
14291,board,"[(130, 1)]"
14292,larry,"[(130, 1), (197, 1)]"
14293,summers,"[(130, 1)]"
14294,reitor,"[(130, 1)]"
14295,apontem,"[(130, 1)]"
14296,protótipo,"[(130, 1)]"
14297,paira,"[(130, 1)]"
14298,avaliará,"[(130, 1)]"
14299,egressos,"[(130, 1)]"
14300,internacionalização,"[(130, 1)]"
14301,programado,"[(131, 1)]"
14302,específica,"[(131, 1)]"
14303,escoltado,"[(131, 1)]"
14304,vestido,"[(131, 1), (196, 1), (197, 1)]"
14305,macacão,"[(131, 1)]"
14306,boné,"[(131, 1)]"
14307,fiança,"[(131, 2)]"
14308,distrital,"[(131, 1)]"
14309,aceite,"[(131, 1)]"
14310,destrua,"[(131, 1), (160, 1)]"
14311,passaporte,"[(131, 1)]"
14312,eletrônico,"[(131, 1), (136, 1), (145, 1)]"
14313,instalada,"[(131, 1), (146, 1)]"
14314,videovigilância,"[(131, 1)]"
14315,procuradoria,"[(131, 1), (166, 1), (181, 2), (219, 1), (229, 1), (233, 1)]"
14316,ocorridas,"[(131, 1)]"
14317,removê,"[(131, 1)]"
14318,montadora,"[(131, 1)]"
14319,alegações,"[(131, 1), (206, 2)]"
14320,agi,"[(131, 1)]"
14321,acusaram,"[(131, 1), (191, 1)]"
14322,custódia,"[(131, 1), (204, 1)]"
14323,abalou,"[(131, 1)]"
14324,consórcio,"[(131, 1), (139, 1)]"
14325,persistente,"[(132, 2), (151, 1)]"
14326,ameaçando,"[(132, 1), (135, 1), (151, 1)]"
14327,trimestral,"[(132, 1)]"
14328,turbulento,"[(132, 1)]"
14329,prognosticada,"[(132, 1)]"
14330,enumera,"[(132, 1), (141, 1)]"
14331,colchões,"[(132, 1)]"
14332,resistentes,"[(132, 1)]"
14333,recuperando,"[(132, 1), (215, 1)]"
14334,lentamente,"[(132, 1)]"
14335,amparado,"[(132, 1)]"
14336,previa,"[(132, 1), (217, 1), (220, 1)]"
14337,moderação,"[(132, 1), (144, 1), (168, 1), (210, 1)]"
14338,perturbação,"[(132, 2)]"
14339,emissões,"[(132, 1), (137, 3), (143, 1), (152, 1), (157, 2)]"
14340,debilitado,"[(132, 1)]"
14341,moderada,"[(132, 1)]"
14342,subjacente,"[(132, 1)]"
14343,persistir,"[(132, 1)]"
14344,revisadas,"[(132, 1)]"
14345,aumentaria,"[(132, 1)]"
14346,contingência,"[(132, 1)]"
14347,adversa,"[(132, 1)]"
14348,tranquilas,"[(132, 1), (249, 1)]"
14349,revisado,"[(132, 1), (240, 1)]"
14350,levemente,"[(132, 1)]"
14351,obstante,"[(132, 1)]"
14352,moderou,"[(132, 1)]"
14353,decorrente,"[(132, 1), (152, 1), (165, 1)]"
14354,opõem,"[(132, 1)]"
14355,fatura,"[(132, 1), (204, 1)]"
14356,considere,"[(132, 1)]"
14357,revertido,"[(132, 1), (202, 1)]"
14358,trimestres,"[(132, 1)]"
14359,decisória,"[(133, 1)]"
14360,raridade,"[(133, 1)]"
14361,empresária,"[(133, 1)]"
14362,betania,"[(133, 1)]"
14363,tanure,"[(133, 6)]"
14364,minoria,"[(133, 1)]"
14365,exígua,"[(133, 1)]"
14366,conselheira,"[(133, 1)]"
14367,mrv,"[(133, 1)]"
14368,magazine,"[(133, 1)]"
14369,luiza,"[(133, 1)]"
14370,varejo,"[(133, 2), (145, 1)]"
14371,inscritas,"[(133, 2)]"
14372,cvm,"[(133, 2)]"
14373,relativo,"[(133, 1), (135, 1)]"
14374,tendem,"[(133, 1), (190, 1), (210, 1)]"
14375,engana,"[(133, 1), (156, 1)]"
14376,moldados,"[(133, 1)]"
14377,mentoria,"[(133, 1)]"
14378,rentável,"[(133, 1), (142, 1), (186, 2)]"
14379,homogeneização,"[(133, 1)]"
14380,preferência,"[(133, 1), (183, 1), (234, 9)]"
14381,analisados,"[(133, 1), (194, 1), (232, 1)]"
14382,promove,"[(133, 1)]"
14383,paridade,"[(133, 1)]"
14384,lidera,"[(133, 1), (140, 1), (168, 1), (235, 1)]"
14385,lanterna,"[(133, 1)]"
14386,firmas,"[(133, 1), (206, 1)]"
14387,conselheiras,"[(133, 1)]"
14388,participo,"[(133, 1)]"
14389,recusei,"[(133, 1)]"
14390,dirige,"[(133, 1), (149, 1), (243, 1)]"
14391,especializada,"[(133, 1), (137, 2), (175, 1), (241, 1)]"
14392,conciliem,"[(133, 1)]"
14393,corporações,"[(133, 1), (144, 1)]"
14394,sentam,"[(133, 1), (196, 1)]"
14395,choca,"[(133, 1)]"
14396,comparada,"[(133, 1)]"
14397,ministras,"[(133, 1)]"
14398,pardos,"[(133, 2)]"
14399,observe,"[(133, 1)]"
14400,vinculada,"[(133, 1), (195, 1), (219, 3), (220, 2)]"
14401,desempenharem,"[(133, 1)]"
14402,absorver,"[(133, 1)]"
14403,superá,"[(133, 1)]"
14404,mexem,"[(133, 1)]"
14405,tocaram,"[(133, 1)]"
14406,engravidar,"[(133, 1)]"
14407,datasketch,"[(133, 1)]"
14408,cuestión,"[(133, 1)]"
14409,nación,"[(133, 1)]"
14410,faro,"[(133, 1)]"
14411,ojo,"[(133, 1)]"
14412,semanario,"[(133, 1)]"
14413,universidad,"[(133, 1)]"
14414,managua,"[(133, 1)]"
14415,furiosa,"[(133, 1)]"
14416,tiempos,"[(133, 1)]"
14417,libre,"[(133, 1)]"
14418,diaria,"[(133, 1)]"
14419,surtidor,"[(133, 1)]"
14420,desconcierto,"[(133, 1)]"
14421,aéreas,"[(134, 4), (143, 3)]"
14422,direciona,"[(134, 1), (143, 1)]"
14423,liberalidade,"[(134, 1), (143, 1)]"
14424,suspenderá,"[(134, 1), (143, 1)]"
14425,aeronaves,"[(134, 4), (143, 3), (247, 2)]"
14426,frota,"[(134, 2), (143, 1), (205, 2)]"
14427,composta,"[(134, 1), (183, 1), (201, 1)]"
14428,totalizando,"[(134, 1), (207, 2), (212, 1)]"
14429,etiópia,"[(134, 2), (143, 1), (188, 1)]"
14430,semelhança,"[(134, 1), (223, 1)]"
14431,indonésia,"[(134, 1), (143, 1), (188, 1)]"
14432,previstas,"[(134, 1)]"
14433,reacomodados,"[(134, 1)]"
14434,parceira,"[(134, 2), (164, 1), (183, 1)]"
14435,air,"[(134, 1), (143, 2)]"
14436,lines,"[(134, 1)]"
14437,esclareceu,"[(134, 1), (163, 1)]"
14438,acompanhando,"[(134, 1), (205, 1)]"
14439,intensiva,"[(134, 1)]"
14440,descartou,"[(134, 1), (167, 1), (226, 2)]"
14441,paralisar,"[(134, 1), (205, 1)]"
14442,desvendar,"[(134, 1), (151, 2)]"
14443,frequentado,"[(134, 1)]"
14444,noticiário,"[(134, 1), (221, 1)]"
14445,intensamente,"[(134, 1)]"
14446,possuem,"[(134, 1), (148, 1), (211, 1), (234, 1), (235, 1)]"
14447,long,"[(135, 3), (195, 1)]"
14448,island,"[(135, 3), (195, 1)]"
14449,instalaria,"[(135, 2)]"
14450,confeitarias,"[(135, 1)]"
14451,cerveja,"[(135, 1), (196, 1), (249, 1)]"
14452,floresceram,"[(135, 1)]"
14453,bulevar,"[(135, 1)]"
14454,vernon,"[(135, 1)]"
14455,avenida,"[(135, 1), (230, 6), (238, 2)]"
14456,anúncios,"[(135, 1), (141, 1), (174, 1), (181, 1), (211, 2)]"
14457,apartamentos,"[(135, 1), (137, 1)]"
14458,caríssimos,"[(135, 1)]"
14459,distrito,"[(135, 1), (137, 1), (138, 1), (158, 1), (207, 1), (217, 1), (230, 1), (238, 1)]"
14460,queens,"[(135, 1)]"
14461,prédios,"[(135, 1), (238, 1)]"
14462,fabulosas,"[(135, 1)]"
14463,convive,"[(135, 1), (151, 2)]"
14464,armazéns,"[(135, 1)]"
14465,incentivos,"[(135, 6), (150, 1), (153, 2), (155, 2), (210, 1)]"
14466,pensava,"[(135, 1), (176, 1)]"
14467,estimados,"[(135, 1)]"
14468,manterá,"[(135, 1), (145, 1)]"
14469,repartirá,"[(135, 1)]"
14470,sedes,"[(135, 1)]"
14471,esquenta,"[(135, 1)]"
14472,kitchen,"[(135, 1)]"
14473,more,"[(135, 1)]"
14474,lamentava,"[(135, 1)]"
14475,jofre,"[(135, 1)]"
14476,montiel,"[(135, 2)]"
14477,aquiles,"[(135, 1)]"
14478,novela,"[(135, 1), (190, 1), (195, 1), (204, 1)]"
14479,encareça,"[(135, 1)]"
14480,precisem,"[(135, 1)]"
14481,subsídio,"[(135, 1)]"
14482,prejudicam,"[(135, 1), (144, 1)]"
14483,empreendimentos,"[(135, 1)]"
14484,promissoras,"[(135, 1)]"
14485,sênior,"[(135, 1)]"
14486,metropolitanas,"[(135, 1)]"
14487,brookings,"[(135, 2)]"
14488,institution,"[(135, 1)]"
14489,organizou,"[(135, 1)]"
14490,resistiria,"[(135, 1)]"
14491,candidaturas,"[(135, 1), (207, 2)]"
14492,propondo,"[(135, 1)]"
14493,stonecrest,"[(135, 1)]"
14494,hectares,"[(135, 1)]"
14495,grátis,"[(135, 1)]"
14496,governador,"[(135, 1), (151, 2), (206, 1), (207, 1), (225, 1), (235, 1), (241, 3)]"
14497,andrew,"[(135, 2)]"
14498,cuomo,"[(135, 3)]"
14499,brincou,"[(135, 1)]"
14500,trocaria,"[(135, 1)]"
14501,implementação,"[(135, 1), (221, 4)]"
14502,girava,"[(135, 1)]"
14503,ganhadoras,"[(135, 1)]"
14504,arlington,"[(135, 2)]"
14505,virgínia,"[(135, 1), (205, 1)]"
14506,unia,"[(135, 1)]"
14507,vencedoras,"[(135, 1)]"
14508,vencidas,"[(135, 1)]"
14509,confidenciais,"[(135, 1)]"
14510,progressistas,"[(135, 2), (235, 1)]"
14511,descobriram,"[(135, 1), (181, 1), (184, 1)]"
14512,acordado,"[(135, 1)]"
14513,contribuinte,"[(135, 1)]"
14514,bloquear,"[(135, 1), (211, 1)]"
14515,chamando,"[(135, 1), (205, 1)]"
14516,cancelar,"[(135, 1), (196, 3), (214, 2)]"
14517,maximizassem,"[(135, 1)]"
14518,ofereciam,"[(135, 1), (242, 1)]"
14519,conectou,"[(135, 1)]"
14520,susan,"[(135, 1), (146, 1), (197, 25)]"
14521,wachter,"[(135, 1)]"
14522,wharton,"[(135, 1)]"
14523,poupar,"[(135, 1)]"
14524,tributos,"[(135, 1)]"
14525,pagando,"[(135, 1)]"
14526,arrogância,"[(135, 1)]"
14527,explodiu,"[(135, 1)]"
14528,prestou,"[(135, 1), (158, 1), (165, 1), (187, 1), (207, 1)]"
14529,monumental,"[(135, 1)]"
14530,facilmente,"[(135, 1)]"
14531,concluirá,"[(135, 1)]"
14532,regulados,"[(135, 1)]"
14533,estipular,"[(135, 1)]"
14534,investido,"[(135, 1), (140, 1), (220, 1)]"
14535,propõem,"[(135, 1)]"
14536,volkswagen,"[(136, 5)]"
14537,automatização,"[(136, 1)]"
14538,dieter,"[(136, 2)]"
14539,heiss,"[(136, 1)]"
14540,direcionamento,"[(136, 1), (219, 1)]"
14541,substituição,"[(136, 1)]"
14542,aposentam,"[(136, 1), (140, 2), (240, 1)]"
14543,amortização,"[(136, 1), (142, 1)]"
14544,eletrônica,"[(136, 1), (207, 1)]"
14545,software,"[(136, 1)]"
14546,wltp,"[(136, 1)]"
14547,diess,"[(136, 1)]"
14548,valorizar,"[(136, 1)]"
14549,despender,"[(136, 1)]"
14550,hans,"[(136, 1)]"
14551,pötsch,"[(136, 1)]"
14552,provedora,"[(136, 1)]"
14553,jetta,"[(136, 1)]"
14554,adquirido,"[(136, 1)]"
14555,frankfurt,"[(136, 1)]"
14556,golf,"[(136, 1)]"
14557,disputando,"[(137, 1), (248, 1)]"
14558,madeira,"[(137, 23), (155, 1), (243, 2)]"
14559,arranha,"[(137, 4)]"
14560,cimento,"[(137, 6)]"
14561,despertar,"[(137, 1), (230, 1)]"
14562,consciências,"[(137, 1)]"
14563,pioneiros,"[(137, 1), (243, 1)]"
14564,ultrapassar,"[(137, 1)]"
14565,pretensão,"[(137, 1), (165, 1), (202, 1)]"
14566,brumunddal,"[(137, 1)]"
14567,oslo,"[(137, 1)]"
14568,mjøstårnet,"[(137, 4)]"
14569,evidencia,"[(137, 1), (142, 1), (194, 1)]"
14570,investidor,"[(137, 1)]"
14571,buchardt,"[(137, 1)]"
14572,bosques,"[(137, 1)]"
14573,renovável,"[(137, 1)]"
14574,reutilizado,"[(137, 1)]"
14575,reciclado,"[(137, 1)]"
14576,regula,"[(137, 1)]"
14577,acústicas,"[(137, 1)]"
14578,isolantes,"[(137, 1)]"
14579,moelven,"[(137, 1)]"
14580,brock,"[(137, 1)]"
14581,commons,"[(137, 1), (188, 1)]"
14582,colúmbia,"[(137, 1)]"
14583,vancouver,"[(137, 1)]"
14584,arrebatar,"[(137, 1), (184, 1)]"
14585,noruega,"[(137, 1), (210, 1)]"
14586,projeta,"[(137, 2), (164, 1), (223, 1)]"
14587,w,"[(137, 1)]"
14588,imóvel,"[(137, 1)]"
14589,hoho,"[(137, 1)]"
14590,viena,"[(137, 1), (181, 2), (188, 1)]"
14591,arquima,"[(137, 2)]"
14592,modular,"[(137, 1)]"
14593,potencializando,"[(137, 1)]"
14594,respeitam,"[(137, 1), (249, 1)]"
14595,pere,"[(137, 2)]"
14596,linares,"[(137, 2)]"
14597,habitat,"[(137, 4)]"
14598,biopassiva,"[(137, 1)]"
14599,assento,"[(137, 1), (152, 1)]"
14600,preferencial,"[(137, 1)]"
14601,energético,"[(137, 2)]"
14602,nulo,"[(137, 2), (166, 1)]"
14603,fiscalizadas,"[(137, 1)]"
14604,carbono,"[(137, 1)]"
14605,edificação,"[(137, 1)]"
14606,nórdicos,"[(137, 1)]"
14607,lideram,"[(137, 1)]"
14608,moradias,"[(137, 2)]"
14609,construídas,"[(137, 1)]"
14610,pisos,"[(137, 1)]"
14611,ábaton,"[(137, 1)]"
14612,borda,"[(137, 1), (244, 1)]"
14613,barcelonês,"[(137, 1)]"
14614,gràcia,"[(137, 2)]"
14615,hondarribia,"[(137, 1)]"
14616,fuenterrabía,"[(137, 1)]"
14617,sudoeste,"[(137, 1)]"
14618,executados,"[(137, 1)]"
14619,facilidade,"[(137, 1), (187, 1)]"
14620,mecanização,"[(137, 1)]"
14621,industrializar,"[(137, 1), (248, 1)]"
14622,seco,"[(137, 1)]"
14623,sustentabilidade,"[(137, 1)]"
14624,viga,"[(137, 1)]"
14625,laminada,"[(137, 1)]"
14626,comparável,"[(137, 1), (243, 1)]"
14627,isolante,"[(137, 1)]"
14628,térmico,"[(137, 1)]"
14629,convencional,"[(137, 1), (152, 1), (155, 2), (190, 1), (198, 1)]"
14630,amortizar,"[(137, 1)]"
14631,desvios,"[(137, 1), (204, 1)]"
14632,aporta,"[(137, 1)]"
14633,tóxicos,"[(137, 1)]"
14634,knowood,"[(137, 1)]"
14635,fomenta,"[(137, 1), (214, 1)]"
14636,design,"[(137, 1), (153, 1), (182, 1)]"
14637,acumulado,"[(138, 1), (236, 1)]"
14638,faíscas,"[(138, 1)]"
14639,consensos,"[(138, 1), (173, 2), (221, 2)]"
14640,apontada,"[(138, 1), (197, 1)]"
14641,maia,"[(138, 3), (149, 1), (166, 1), (204, 1), (205, 3), (209, 1), (213, 2), (215, 4), (218, 3), (225, 6), (240, 1)]"
14642,coordenação,"[(138, 2), (147, 1), (217, 6)]"
14643,esperará,"[(138, 1)]"
14644,assumam,"[(138, 1)]"
14645,pautar,"[(138, 1), (221, 1)]"
14646,passá,"[(138, 1)]"
14647,articulação,"[(138, 1), (151, 1), (173, 1), (205, 1), (209, 1), (213, 2), (235, 1), (240, 2)]"
14648,caísse,"[(138, 1)]"
14649,perdesse,"[(138, 1), (195, 1)]"
14650,ofuscado,"[(138, 1)]"
14651,desanimando,"[(138, 1)]"
14652,acendia,"[(138, 1)]"
14653,fraqueza,"[(138, 1)]"
14654,ibc,"[(138, 1)]"
14655,semanalmente,"[(138, 1)]"
14656,euforia,"[(138, 1)]"
14657,calcada,"[(138, 1)]"
14658,atravessando,"[(138, 1), (244, 1)]"
14659,retomada,"[(138, 4), (144, 1), (166, 1), (173, 1), (217, 3)]"
14660,thiago,"[(138, 1), (156, 1), (240, 1)]"
14661,xavier,"[(138, 2)]"
14662,compararmos,"[(138, 1)]"
14663,recessivos,"[(138, 1)]"
14664,pífio,"[(138, 1)]"
14665,atribuído,"[(138, 1)]"
14666,endividamento,"[(138, 1), (144, 1), (152, 1)]"
14667,colhido,"[(138, 1)]"
14668,sucessivos,"[(138, 1)]"
14669,déficits,"[(138, 1), (194, 1)]"
14670,contingenciamento,"[(138, 1)]"
14671,revisar,"[(138, 1), (198, 1)]"
14672,contabilizadas,"[(138, 1)]"
14673,royalties,"[(138, 1), (191, 2)]"
14674,institucionais,"[(138, 1), (210, 2), (229, 1)]"
14675,rompido,"[(138, 1)]"
14676,relevantes,"[(138, 1), (185, 1), (205, 1), (210, 1), (221, 1), (223, 1), (230, 1)]"
14677,automotiva,"[(138, 1)]"
14678,enfrentados,"[(138, 1)]"
14679,regida,"[(138, 1)]"
14680,preocupar,"[(138, 1), (166, 1)]"
14681,baixíssima,"[(138, 1), (217, 1)]"
14682,sennes,"[(138, 3)]"
14683,doutor,"[(138, 1), (149, 1)]"
14684,prospectiva,"[(138, 1)]"
14685,reversão,"[(138, 1)]"
14686,projetada,"[(138, 1)]"
14687,timing,"[(138, 1)]"
14688,descoordenação,"[(138, 1)]"
14689,investirem,"[(138, 1)]"
14690,lava,"[(138, 1), (162, 3), (171, 1), (202, 1), (204, 3), (206, 2), (226, 1)]"
14691,jato,"[(138, 1), (162, 3), (171, 1), (202, 1), (204, 3), (206, 2), (226, 1), (243, 1)]"
14692,pitada,"[(138, 1), (215, 1)]"
14693,corretora,"[(138, 2)]"
14694,turva,"[(138, 1)]"
14695,geram,"[(138, 1), (210, 1)]"
14696,pânico,"[(138, 1), (151, 1), (157, 1), (214, 1)]"
14697,reeleito,"[(138, 1)]"
14698,medidor,"[(138, 1)]"
14699,regulações,"[(138, 1), (142, 1), (211, 1)]"
14700,blindados,"[(138, 1)]"
14701,caminhando,"[(138, 1), (197, 1), (249, 1)]"
14702,mantendo,"[(138, 1), (166, 2), (246, 1)]"
14703,pareceram,"[(138, 1), (172, 1)]"
14704,animadores,"[(138, 1)]"
14705,levantamento,"[(138, 1), (203, 2), (207, 5), (232, 1), (239, 1)]"
14706,ótimo,"[(138, 1), (141, 2), (236, 1), (248, 1)]"
14707,aferidos,"[(138, 1)]"
14708,galeria,"[(138, 2), (175, 4)]"
14709,brás,"[(138, 1), (177, 1)]"
14710,batalhado,"[(138, 1)]"
14711,devagar,"[(138, 1), (162, 1)]"
14712,cintura,"[(138, 1)]"
14713,aluguel,"[(138, 1)]"
14714,funcionária,"[(138, 1), (207, 1)]"
14715,consigo,"[(138, 1), (182, 1)]"
14716,guardar,"[(138, 1), (169, 1)]"
14717,comerciante,"[(138, 1), (181, 1)]"
14718,melhorem,"[(138, 1)]"
14719,ajuste,"[(138, 1), (173, 1), (188, 1), (193, 1), (248, 1)]"
14720,compasso,"[(138, 1), (213, 1)]"
14721,comemorou,"[(139, 1), (208, 1)]"
14722,leilão,"[(139, 4), (181, 1), (219, 2), (220, 7)]"
14723,privatização,"[(139, 1), (142, 1), (248, 1)]"
14724,aeroportos,"[(139, 12), (197, 1)]"
14725,outorga,"[(139, 1), (219, 2), (220, 3)]"
14726,estipulada,"[(139, 1)]"
14727,ágio,"[(139, 1), (219, 1)]"
