,palavra,doc|ocorrencia
30,abril,"[(1, 1), (5, 1), (6, 1), (27, 1), (28, 2), (36, 2), (54, 1), (86, 1), (90, 4), (91, 2), (95, 1), (96, 1), (100, 3), (103, 1), (112, 1), (115, 1), (134, 1), (137, 1), (151, 1), (162, 3), (165, 2), (166, 1), (190, 1), (192, 1), (196, 1), (197, 2), (220, 1), (226, 2), (231, 1), (232, 1), (234, 1), (236, 1), (246, 1)]"
31,partiu,"[(1, 1), (2, 1), (177, 1), (244, 1)]"
32,presidente,"[(1, 4), (2, 1), (7, 1), (8, 3), (9, 1), (15, 3), (18, 6), (19, 11), (21, 5), (22, 5), (23, 4), (24, 1), (25, 8), (26, 5), (27, 2), (37, 2), (39, 2), (40, 1), (41, 1), (42, 4), (45, 1), (47, 5), (50, 4), (63, 21), (64, 5), (65, 2), (66, 6), (69, 4), (73, 3), (75, 1), (76, 1), (77, 4), (80, 1), (81, 6), (82, 2), (83, 3), (84, 1), (86, 9), (88, 3), (90, 2), (91, 1), (92, 1), (95, 2), (96, 2), (97, 2), (98, 2), (100, 6), (101, 2), (103, 8), (104, 2), (105, 5), (106, 1), (108, 1), (110, 1), (111, 4), (115, 4), (120, 4), (125, 1), (127, 2), (130, 1), (131, 1), (132, 1), (136, 2), (137, 1), (138, 5), (140, 1), (145, 1), (149, 4), (150, 2), (151, 12), (156, 2), (162, 3), (164, 6), (165, 2), (166, 16), (169, 1), (172, 5), (173, 5), (174, 7), (188, 2), (198, 2), (202, 3), (203, 5), (204, 6), (205, 10), (206, 3), (207, 4), (208, 5), (209, 6), (213, 2), (214, 1), (215, 5), (216, 11), (218, 4), (222, 3), (223, 4), (224, 2), (225, 5), (226, 4), (227, 2), (228, 2), (229, 5), (230, 1), (231, 3), (232, 2), (233, 3), (234, 2), (235, 6), (236, 6), (237, 2), (238, 4), (239, 1), (240, 2), (246, 1), (247, 4)]"
33,ultradireita,"[(1, 1), (2, 1), (175, 2), (204, 1)]"
34,jair,"[(1, 1), (2, 1), (25, 1), (86, 1), (126, 1), (146, 1), (151, 6), (166, 2), (207, 13), (210, 1), (216, 1), (220, 1), (221, 1), (222, 1), (224, 1), (231, 1), (237, 1), (238, 1), (239, 1)]"
35,bolsonaro,"[(1, 1), (2, 1), (7, 1), (8, 7), (15, 1), (18, 5), (19, 26), (21, 3), (22, 5), (23, 1), (25, 5), (26, 7), (37, 2), (42, 12), (69, 5), (73, 1), (86, 1), (95, 3), (101, 5), (105, 6), (111, 8), (115, 5), (120, 1), (126, 1), (127, 4), (138, 5), (140, 3), (146, 1), (149, 2), (151, 46), (154, 2), (164, 3), (165, 5), (166, 37), (168, 1), (172, 4), (174, 5), (203, 4), (204, 2), (205, 7), (207, 35), (208, 12), (209, 2), (210, 1), (211, 1), (213, 4), (215, 4), (216, 12), (218, 5), (220, 2), (221, 1), (222, 3), (223, 1), (224, 1), (225, 8), (228, 2), (229, 5), (230, 1), (231, 2), (234, 1), (235, 8), (236, 5), (237, 5), (238, 5), (239, 1), (240, 1), (248, 4)]"
36,tentou,"[(1, 1), (2, 1), (4, 1), (9, 2), (11, 1), (19, 2), (38, 1), (46, 1), (56, 1), (91, 1), (97, 1), (146, 1), (168, 1), (172, 1), (184, 2), (207, 1), (226, 1), (230, 1), (237, 1), (249, 1)]"
37,suavizar,"[(1, 1), (2, 1), (24, 1), (122, 1)]"
38,ordem,"[(1, 3), (2, 1), (14, 1), (25, 5), (63, 1), (64, 1), (69, 1), (73, 1), (115, 1), (117, 1), (119, 1), (129, 1), (146, 1), (166, 1), (171, 1), (173, 1), (197, 1), (202, 3), (206, 2), (217, 1), (218, 1), (223, 1), (224, 1), (238, 1)]"
39,citando,"[(1, 1), (205, 1)]"
